logf, logr, word
1.386294, 4.718499, "suppressed"
1.386294, 4.718499, "support"
1.386294, 4.718499, "stuff"
1.386294, 4.718499, "stick"
1.386294, 4.718499, "status"
1.386294, 4.718499, "spread"
1.386294, 4.718499, "sounds"
1.386294, 4.718499, "sound"
1.386294, 4.718499, "solemnly"
1.386294, 4.718499, "sobs"
1.386294, 4.718499, "sky"
1.386294, 4.718499, "site"
1.386294, 4.718499, "since"
1.386294, 4.718499, "sigh"
1.386294, 4.718499, "sides"
1.386294, 4.718499, "shrinking"
1.386294, 4.718499, "shoulders"
1.386294, 4.718499, "shoulder"
1.386294, 4.718499, "short"
1.386294, 4.718499, "sharply"
1.386294, 4.718499, "severely"
1.386294, 4.718499, "screamed"
1.386294, 4.718499, "says"
1.386294, 4.718499, "savage"
1.386294, 4.718499, "run"
1.386294, 4.718499, "rosetree"
1.386294, 4.718499, "requirements"
1.386294, 4.718499, "removed"
1.386294, 4.718499, "reading"
1.386294, 4.718499, "reach"
1.386294, 4.718499, "rabbits"
1.386294, 4.718499, "quadrille"
1.386294, 4.718499, "puzzling"
1.386294, 4.718499, "providing"
1.386294, 4.718499, "provided"
1.386294, 4.718499, "porpoise"
1.386294, 4.718499, "pointing"
1.386294, 4.718499, "players"
1.386294, 4.718499, "plan"
1.386294, 4.718499, "pictures"
1.386294, 4.718499, "phrase"
1.386294, 4.718499, "perfectly"
1.386294, 4.718499, "paws"
1.386294, 4.718499, "passage"
1.386294, 4.718499, "pale"
1.386294, 4.718499, "otherwise"
1.386294, 4.718499, "ordered"
1.386294, 4.718499, "officers"
1.386294, 4.718499, "none"
1.386294, 4.718499, "natural"
1.386294, 4.718499, "mission"
1.386294, 4.718499, "miss"
1.386294, 4.718499, "met"
1.386294, 4.718499, "mary"
1.386294, 4.718499, "managed"
1.386294, 4.718499, "mabel"
1.386294, 4.718499, "m"
1.386294, 4.718499, "located"
1.386294, 4.718499, "lives"
1.386294, 4.718499, "letter"
1.386294, 4.718499, "less"
1.386294, 4.718499, "led"
1.386294, 4.718499, "lay"
1.386294, 4.718499, "law"
1.386294, 4.718499, "kitchen"
1.386294, 4.718499, "keeping"
1.386294, 4.718499, "jurybox"
1.386294, 4.718499, "jurors"
